Age,Age_Group,Gender,Education_Level,Preferred_Study_Time,Learning_Goal,Language_Preference,Prefers_Diagrams,Likes_Listening,Enjoys_Reading,HandsOn_Activities,Remembers_Pictures,Prefers_Lectures,Writes_Notes,Builds_Models,Watches_Videos,Participates_Discussions,Reads_Textbooks,Does_Experiments,Draws_Mindmaps,Listens_MusicWhileStudying,Moves_WhileLearning,Style
38,Adult 30+,Other,Primary School,Morning,Exams,Other,4,5,3,1,5,4,2,1,1,3,3,1,1,5,3,Auditory
9,Child,Male,Postgraduate,Afternoon,Skill Development,Other,5,4,1,2,2,3,3,2,5,5,2,1,2,4,2,Auditory
37,Adult 30+,Female,Undergraduate,Morning,Skill Development,Other,2,4,3,1,2,4,3,2,5,5,1,3,1,4,1,Auditory
38,Adult 30+,Female,PhD,Night,Career Growth,Gujarati,5,1,2,4,2,3,1,4,2,2,2,5,4,3,5,Kinesthetic
25,Young Adult,Male,PhD,Evening,Career Growth,Hindi,3,2,3,2,5,3,1,3,4,3,1,1,5,1,5,Visual
20,Young Adult,Female,PhD,Night,Exams,Gujarati,3,2,2,1,4,2,1,2,5,5,2,1,5,3,4,Visual
13,Teen,Male,PhD,Afternoon,Career Growth,Other,2,4,5,1,5,2,5,2,1,1,3,3,1,3,5,Read/Write
24,Young Adult,Female,High School,Evening,Hobby,Hindi,1,5,2,5,3,2,1,4,3,1,5,4,5,5,3,Kinesthetic
33,Adult 30+,Other,Undergraduate,Afternoon,Career Growth,Hindi,3,3,4,2,4,5,5,3,5,5,5,2,1,2,2,Read/Write
40,Adult 30+,Female,Primary School,Afternoon,Hobby,English,3,2,3,1,3,1,4,2,2,1,4,3,1,1,1,Read/Write
31,Adult 30+,Other,Undergraduate,Night,Career Growth,Other,2,2,5,4,1,1,4,2,1,1,5,2,1,4,2,Read/Write
20,Young Adult,Other,Primary School,Afternoon,Career Growth,Other,1,4,3,1,3,5,4,3,1,3,1,2,2,5,2,Auditory
20,Young Adult,Other,Primary School,Morning,Exams,Gujarati,3,1,4,5,3,2,5,2,3,1,3,3,1,1,1,Read/Write
